,book,genre
524,/book/show/24940536-under-the-cypress-tree,Romance
525,/book/show/39854472-rising-the-beast,
526,/book/show/22447293-if-i-break,Romance
527,/book/show/13267836-memoirs-aren-t-fairytales,Nonfiction
528,/book/show/33296936-pishacha,Horror
529,/book/show/40799264-dark-harvest,Fantasy
530,/book/show/40503129-trigger-warning,
531,/book/show/37840927-blazing,Science Fiction
532,/book/show/19072205-the-minotaur-riddle,Childrens
533,/book/show/40032391-i-hired-a-hitman,Adult Fiction
534,/book/show/7903434-glass-tiger,Thriller
535,/book/show/33828296-a-demon-in-my-bed,Fantasy
536,/book/show/3922096-tomaree,Romance
537,/book/show/17151975-the-christine-jake-affair,Romance
538,/book/show/42855897-on-this-day,Thriller
539,/book/show/27415324-the-wind-guardian,Thriller
540,/book/show/16075986-unsinkable,Biography
541,/book/show/41483641-the-westwood-witches,Fantasy
542,/book/show/19256975-journey-under-the-midnight-sun,Mystery
543,/book/show/29155023-fortress-europe,
544,/book/show/15863526-vanished,Christian Fiction
545,/book/show/8269071-the-green-mile,Horror
546,/book/show/31682917-ghost,Dark
547,/book/show/23451388-where-is-language,
548,/book/show/34347433-vacationland,Nonfiction
549,/book/show/21411902-dirty-rowdy-thing,Romance
550,/book/show/25099252-nothing-is-strange,Short Stories
551,/book/show/6562879-the-corrections,Fiction
552,/book/show/10215349-the-immortal-rules,Paranormal
553,/book/show/30069111-secrets-of-submission,Erotica
554,/book/show/39786275-the-marriage-pact,Romance
555,/book/show/31281495-flames-to-the-beast,Fantasy
556,/book/show/20523475-love-inspired-suspense-february-2014-bundle,
557,/book/show/21403442-breaking-the-gloaming,Fantasy
558,/book/show/35556803-the-surrogate,Thriller
559,/book/show/13598384-a-minotaur-at-the-savoy,Science Fiction Fantasy
560,/book/show/17262366-one-summer,History
